,good,bad
0,The Adventures of Pinocchio,The Advent
1,CHAPTER 1,CHA
2,"How it happened that Mastro Cherry, carpenter,found a piece of wood that wept and laughed like a child","How it happened that Mastro Cherry, carpenter,found a piece of wood that wept and laughed lik"
3,Centuries ago there lived--,Centuries ago there li
4,"""A king!"" my little readers will say immediately.","""A king!"" "
5,"No, children, you are mistaken.  Once upon a timethere was a piece of wood.  It was not an expensive pieceof wood.  Far from it.  Just a common block of firewood,one of those thick, solid logs that are put on the fire inwinter to make cold rooms cozy and warm.","No, children, you are mistaken.  Once upon a timethere was a piece of wood.  It was not an expensive pieceof wood.  Far from it.  Just a common block of firewood,on"
6,"I do not know how this really happened, yet the factremains that one fine day this piece of wood found itselfin the shop of an old carpenter.  His real name wasMastro Antonio, but everyone called him Mastro Cherry,for the tip of his nose was so round and red and shinythat it looked like a ripe cherry.","I do not know how this really happened, yet the factremains that one fine day this piece of wood found itselfin the shop of an old carpenter.  His real name wasMastro Antonio, but everyone called him Mastro Cherry,f"
7,"As soon as he saw that piece of wood, Mastro Cherrywas filled with joy.  Rubbing his hands together happily,he mumbled half to himself:","As soon as he saw that piece of wood, Mastro Cherrywas f"
8,"""This has come in the nick of time.  I shall use it tomake the leg of a table.""","""This has come in the nick of time.  I "
9,"He grasped the hatchet quickly to peel off the bark andshape the wood.  But as he was about to give it the firstblow, he stood still with arm uplifted, for he had heard awee, little voice say in a beseeching tone:  ""Please be careful!Do not hit me so hard!""",He grasped the hatchet quickly to peel off the bark andshape the wood.  But as he
10,What a look of surprise shone on Mastro Cherry'sface!  His funny face became still funnier.,What a look of surpri
11,"He turned frightened eyes about the room to find outwhere that wee, little voice had come from and he sawno one! He looked under the bench--no one! He peepedinside the closet--no one! He searched among the shavings--no one! He opened the door to look up and downthe street--and still no one!",He turned frightened eye
12,"""Oh, I see!"" he then said, laughing and scratching his Wig.""It can easily be seen that I only thought I heard the tinyvoice say the words! Well, well--to work once more.""","""Oh, I see!"" he then said, laughing and scratching his Wig.""It can easily be seen t"
13,He struck a most solemn blow upon the piece of wood.,He struck a most solemn blow upon the pi
14,"""Oh, oh!  You hurt!"" cried the same far-away little voice.","""Oh, oh!  Yo"
15,"Mastro Cherry grew dumb, his eyes popped out of hishead, his mouth opened wide, and his tongue hung downon his chin.","Mastro Cherry grew dumb, his eyes popped out of hishead, his mouth opened wide, and his tongue hung downon "
16,"As soon as he regained the use of his senses, he said,trembling and stuttering from fright:",As 
17,"""Where did that voice come from, when there is noone around?  Might it be that this piece of wood haslearned to weep and cry like a child?  I can hardlybelieve it.  Here it is--a piece of common firewood, goodonly to burn in the stove, the same as any other.  Yet--might someone be hidden in it?  If so, the worse for him.I'll fix him!""","""Where did that voice come from, when there is noone around?  Might it be that this piece of wood haslearned to weep and cry like a child?  I can hardlybelieve it.  Here it is--a piece of common firewood, goodonly to burn in the stove, the same as any other.  Yet--mig"
18,"With these words, he grabbed the log with both handsand started to knock it about unmercifully.  He threw itto the floor, against the walls of the room, and even upto the ceiling.","With these words, he grabbed the log with "
19,He listened for the tiny voice to moan and cry.He waited two minutes--nothing; five minutes--nothing;ten minutes--nothing.,He listened for the tiny voice to moan and cry.He waited two minutes--nothing; five minutes--nothing;ten minutes--n
20,"""Oh, I see,"" he said, trying bravely to laugh andruffling up his wig with his hand.  ""It can easily be seenI only imagined I heard the tiny voice!  Well, well--towork once more!""","""Oh, I see,"" he said, trying bravely to laugh andruffling up h"
21,"The poor fellow was scared half to death, so he triedto sing a gay song in order to gain courage.",The poor fe
22,"He set aside the hatchet and picked up the plane tomake the wood smooth and even, but as he drew it toand fro, he heard the same tiny voice.  This time it giggledas it spoke:",He set aside the hatchet and picked up the plane tomake the wood
23,"""Stop it!  Oh, stop it!  Ha, ha, ha! You tickle my stomach.""","""Stop it!  Oh, stop it!  Ha, ha, ha! You tickle my stomac"
24,"This time poor Mastro Cherry fell as if shot.  Whenhe opened his eyes, he found himself sitting on the floor.",This time poor Mast
25,His face had changed; fright had turned even the tip ofhis nose from red to deepest purple.,His face had changed; fright had turned even the tip ofhis nose from red to d
26,CHAPTER 2,CHAPTER 
27,"Mastro Cherry gives the piece of wood to his friend Geppetto,who takes it to make himself a Marionette that will dance,fence, and turn somersaults","Mastro Cherry gives the piece of wood to his friend Geppetto,who takes it to make himself a Marionette that will dance,fence, an"
28,"In that very instant, a loud knock sounded on the door.""Come in,"" said the carpenter, not having an atom ofstrength left with which to stand up.","In that very instant, a lo"
29,"At the words, the door opened and a dapper little oldman came in.  His name was Geppetto, but to the boys ofthe neighborhood he was Polendina,[1] on account of thewig he always wore which was just the color of yellow corn.",At t
30,[1] Cornmeal mush,[
